WELL_ID,GL_NUMBER,DF,STRATIGRAPHIC_NAME,TDS,CW,RXO,RO,RMF_TF,TF,REMARKS_CALC,INITIALS,LATDD,LONGDD,TS,GL_CO,REMARKS_HEADER,LR_NO,LR_TD,LR_BD,LR_TBH,LR_RM,LR_RM_TEMP,LR_RMF,LR_RMF_TEMP,LR_MUD_TYPE,LR_MUD_WEIGHT,LR_DATE,TBH_CORR,TBH_CORR_METHOD,REMARKS_LR
6433,84346,598,Hosston Sand,1708,2309.47,345,1250,1.3,70,HCT Alger-Harrison Method,AKS,29.969407,-98.962541,65,Schlumberger,,1,513,3353,95,1.44,77,0,0,gel. hydrotan. baroco,10,5/30/1954,-99999,,no Rmf recorded; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6457,81012,570,Upper Glen Rose Formation,1152,1369.86,13,15,6.61,72,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,619,Upper Glen Rose Formation,1012,1213.59,20,26,6.52,73,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,833,Lower Glen Rose Formation,782,945.18,36,60,6.35,75,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,852,Lower Glen Rose Formation,757,914.91,40,69,6.26,76,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,935,Hensell Sand,808,1102.54,38,54,6.18,77,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,960,Hensell Sand,829,1135.07,43,60,6.18,77,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,1003,Cow Creek Limestone,850,1166.86,23,31,6.18,77,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,1022,Cow Creek Limestone,881,1213.59,66,86,6.1,78,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,1053,Hosston Sand,605,740.74,66,140,6.1,78,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6457,81012,1098,Hosston Sand,483,566.89,98,270,6.03,79,HCT Alger-Harrison Method,AKS,30.151857,-99.532965,65,Schlumberger,,1,50,1133,79,7.41,68,7,68,gel water,8.9,11/27/1981,-99999,,Rm and Rmf from chart. Tbh from Gg
6468,51481,169,Upper Glen Rose Formation,647,780.03,20,40,6.87,70,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,182,Upper Glen Rose Formation,698,842.46,22,41,6.87,70,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,319,Lower Glen Rose Formation,761,919.96,85,145,6.5,74,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,378,Lower Glen Rose Formation,647,780.03,80,160,6.41,75,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,427,Lower Glen Rose Formation,659,794.91,95,185,6.33,76,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,470,Hensell Sand,734,984.25,95,150,6.24,77,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,485,Hensell Sand,772,1046.03,80,120,6.16,78,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,520,Cow Creek Limestone,914,1262.63,65,80,6.09,79,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,625,Sligo Limestone,1180,1557.63,30,30,5.94,81,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,650,Sligo Limestone,1258,1669.45,32,30,5.86,82,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,682,Hosston Sand,1280,1700.68,31.5,29,5.79,83,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,730,Hosston Sand,1522,2044.99,44,33.5,5.72,84,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,780,Hosston Sand,1158,1526.72,39,40,5.66,85,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
6468,51481,793,Hosston Sand,1115,1466.28,47,50,5.66,85,HCT Alger-Harrison Method,AKS,30.15194,-98.21504,66,Schlumberger,,1,100,822,86,6.8,79,0,0,natural - gel,10.1,12/29/1955,-99999,,no Rmf. Tbh calculated from Gg from 33715; This Rmf value was calculated using the HCT project Rm and Rmf equation.
13510,9787,11113,Upper Glen Rose Formation,9997,14084.51,28,20,0.29,252,HCT Alger-Harrison Method,AKS,28.813281,-98.189237,70,Schlumberger,additional Mud resistivities in remarks section on GL header. resistivity scale change at 9660 0-20 to 0-200. resistivity scale change at 10994 0-200 to 0-100,4,11000,12743,244,0.5,90,0.3,244,oil emulsion,12.2,12/4/1956,278.2999878,SMU-Harrison,
13510,9787,11166,Upper Glen Rose Formation,11335,16393.44,37,23,0.29,253,HCT Alger-Harrison Method,AKS,28.813281,-98.189237,70,Schlumberger,additional Mud resistivities in remarks section on GL header. resistivity scale change at 9660 0-20 to 0-200. resistivity scale change at 10994 0-200 to 0-100,4,11000,12743,244,0.5,90,0.3,244,oil emulsion,12.2,12/4/1956,278.2999878,SMU-Harrison,
13510,9787,11222,Upper Glen Rose Formation,14579,21276.6,20,10,0.29,253,HCT Alger-Harrison Method,AKS,28.813281,-98.189237,70,Schlumberger,additional Mud resistivities in remarks section on GL header. resistivity scale change at 9660 0-20 to 0-200. resistivity scale change at 10994 0-200 to 0-100,4,11000,12743,244,0.5,90,0.3,244,oil emulsion,12.2,12/4/1956,278.2999878,SMU-Harrison,
13510,9787,11288,Upper Glen Rose Formation,12747,18518.52,27,15,0.29,255,HCT Alger-Harrison Method,AKS,28.813281,-98.189237,70,Schlumberger,additional Mud resistivities in remarks section on GL header. resistivity scale change at 9660 0-20 to 0-200. resistivity scale change at 10994 0-200 to 0-100,4,11000,12743,244,0.5,90,0.3,244,oil emulsion,12.2,12/4/1956,278.2999878,SMU-Harrison,
13510,9787,11428,Upper Glen Rose Formation,15207,22222.22,40,18,0.28,257,HCT Alger-Harrison Method,AKS,28.813281,-98.189237,70,Schlumberger,additional Mud resistivities in remarks section on GL header. resistivity scale change at 9660 0-20 to 0-200. resistivity scale change at 10994 0-200 to 0-100,4,11000,12743,244,0.5,90,0.3,244,oil emulsion,12.2,12/4/1956,278.2999878,SMU-Harrison,
